input_hex,input_dec,output_hex,output_dec
0x022E,558,0x73FB,29691
0x022F,559,0x6B94,27540
0x0230,560,0x964B,38475
0x0231,561,0x7E7E,32382
0x0232,562,0xFC30,64560
0x0233,563,0xA9ED,43501
0x0234,564,0xBAEF,47855
0x0235,565,0x3B2A,15146
0x0236,566,0x4260,16992
0x0237,567,0x0C95,3221
0x0238,568,0x509C,20636
0x0239,569,0xFBD9,64473
0x023A,570,0xCA17,51735
0x023B,571,0x8ADF,35551
0x023C,572,0xF5E4,62948
0x023D,573,0x0D3E,3390
0x023E,574,0x2ED1,11985
0x023F,575,0x6E80,28288
0x0240,576,0x586B,22635
0x0241,577,0x3289,12937
0x0242,578,0xC44C,50252
0x0243,579,0xDD77,56695
0x0244,580,0x0981,2433
0x0245,581,0xB579,46457
0x0246,582,0x6464,25700
0x0247,583,0xE691,59025
0x0248,584,0x803B,32827
0x0249,585,0x34CB,13515
0x024A,586,0xBA89,47753
0x024B,587,0xA4B5,42165
0x024C,588,0xF05A,61530
0x024D,589,0xBD53,48467
0x024E,590,0xBE05,48645
0x024F,591,0xD8EB,55531
0x0250,592,0xA04E,41038
0x0251,593,0xA039,41017
0x0252,594,0x6530,25904
0x0253,595,0xDCCD,56525
0x0254,596,0xAE37,44599
0x0255,597,0x3CB4,15540
0x0256,598,0x4466,17510
0x0257,599,0xC9C9,51657
0x0258,600,0x6E91,28305
0x0259,601,0xFF11,65297
0x025A,602,0xF618,63000
0x025B,603,0x1B82,7042
0x025C,604,0x0D1C,3356
0x025D,605,0xF05A,61530
0x025E,606,0x5498,21656
0x025F,607,0x39D7,14807
0x0260,608,0x98EF,39151
0x0261,609,0x67CD,26573
0x0262,610,0x61F8,25080
0x0263,611,0xDF02,57090
0x0264,612,0x0303,771
0x0265,613,0xD269,53865
0x0266,614,0x8F9E,36766
0x0267,615,0xD148,53576
0x0268,616,0x1625,5669
0x0269,617,0x3FE2,16354
0x026A,618,0x7564,30052
0x026B,619,0x01FE,510
0x026C,620,0x72AF,29359
0x026D,621,0x0066,102
0x026E,622,0x2A7F,10879
0x026F,623,0xC927,51495
0x0270,624,0x0EA4,3748
0x0271,625,0x7E6F,32367
0x0272,626,0x0022,34
0x0273,627,0x791F,31007
0x0274,628,0xED9A,60826
0x0275,629,0xFBFB,64507
0x0276,630,0xE02C,57388
0x0277,631,0xA0E4,41188
0x0278,632,0x3425,13349
0x0279,633,0x9BFD,39933
0x027A,634,0xEF10,61200
0x027B,635,0x2561,9569
0x027C,636,0xF2C1,62145
0x027D,637,0xBA54,47700
0x027E,638,0x34BC,13500
0x027F,639,0xB218,45592
0x0280,640,0x8822,34850
0x0281,641,0x0880,2176
0x0282,642,0x9D73,40307
0x0283,643,0x1ED2,7890
0x0284,644,0x6F7E,28542
0x0285,645,0x49B6,18870
0x0286,646,0x0F69,3945
0x0287,647,0xE6F7,59127
0x0288,648,0xC387,50055
0x0289,649,0x7AB6,31414
0x028A,650,0x9292,37522
0x028B,651,0x5216,21014
0x028C,652,0xDEB8,57016
0x028D,653,0xDF64,57188
0x028E,654,0xFC12,64530
0x028F,655,0xEBBE,60350
0x0290,656,0x2057,8279
0x0291,657,0x97C2,38850
0x0292,658,0xEC8A,60554
0x0293,659,0x6F18,28440
0x0294,660,0xC936,51510
0x0295,661,0xEDCF,60879
0x0296,662,0xC149,49481
0x0297,663,0x2345,9029
0x0298,664,0xB5D3,46547
0x0299,665,0xE592,58770
0x029A,666,0x4F38,20280
0x029B,667,0x9A9A,39578
0x029C,668,0xE33E,58174
0x029D,669,0x5599,21913
0x029E,670,0x92C7,37575
0x029F,671,0x5849,22601
0x02A0,672,0x4B69,19305
0x02A1,673,0x3452,13394
0x02A2,674,0xDE8B,56971
0x02A3,675,0x91D5,37333
0x02A4,676,0x1D7B,7547
0x02A5,677,0x7F3B,32571
0x02A6,678,0xF01E,61470
0x02A7,679,0xED12,60690
0x02A8,680,0x1414,5140
0x02A9,681,0xF0B4,61620
0x02AA,682,0x5522,21794
0x02AB,683,0x2A4C,10828
0x02AC,684,0xE03D,57405
0x02AD,685,0x0E5B,3675
0x02AE,686,0x0365,869
0x02AF,687,0x2CF1,11505
0x02B0,688,0x7610,30224
0x02B1,689,0x7153,29011
0x02B2,690,0x7135,28981
